genreId,name
1n9q7z2m,Bear
g2zokrnl,Beat 'em 'up
1n99jqnm,Beat 'em all
x650ewnm,Beat 'em up
4n6k0729,Beat 'em ups
1n9qgd2m,Beat em up
l28ezy2r,"Beat Em Up, Platformer"
4n6w7r29,Beat em' up
72y1ro2d,Beat em' up/Platformer
1n9x0znm,Beat em'up
dnqexkn8,Beat t'em up
q271k12l,Beat Them All
4n609kn9,Beat them Up
p23m1mn6,Beat'em all
650ewrnm,Beat'em up
d5ozx3nw,Beat'em up - Wrestling
1npe3p57,Beat'm Up
75mjxx53,Beat'm'Up
p23xmm26,Beat-'em-up
r2lwe457,Beat-em up
1npe9k57,Beat-em-up
m21xgz54,Beat-them-up
dnqo7j58,Beat-Up
92dvz32l,Beatem'up
4n46mw20,Beatemup
4n4y9dn0,Bedwars
g2z31onl,Beginner Kaizo
1n9xdxnm,bhop
r2l69p27,Bhopping
rnvxjr2q,Bike
6509865m,Bike Racing
92dv8m2l,Bikes
65jgkv5k,Billiards
92dx3m5l,biopunk
oy5gxrne,Bishōjo Game
92ddpm2l,Bit
d5olrj5w,Blackjack
75mgrx53,Blob
q27q44nl,Blobs
p2313mn6,Block
q27q6enl,Block breaker
75mv0853,Block Pushing
1np8pv57,Block Stacker
rnvj8knq,Block-breaking game
p23o9d26,Block-Pushing
q27qy4nl,Blockwars
x5e4p8n4,Blood
4n4x6p20,Bloody
dnqvm928,bmup
r2rz195z,Bmx
4n66jrn9,Board
pl2kje51,Board Game
rnvjpknq,Board game (videogame version)
75mg4453,Board Games
y5gjkx5e,Board/Party Game
72yojw5d,Board/Puzzle
p236lk26,boardgames
l28wmw2r,Boat
p2367326,Boats
6506pw5m,Body Horror
4n4xv820,Boomer Shooter
4n4ejj50,Bootleg
l28wdy2r,Boss battle
r2lodk27,Boss Fighting
y5gkxr2e,Boss rush
65jgq15k,Boss-Rush
dnqj1r28,Bossfight
x5e7wdn4,Bossrush
4n6w1r29,bowling
yq5w1rng,Boxing
g2z8kr2l,Brain
r2lvkwn7,Brain game
wr2lz857,Brawler
rnvd0knq,Brawler/Shooting Action
l2ky3k51,breadskate
92dkkmnl,Breakout
q274dx2l,Breakout clone
4n4x3d20,Breakout/Arkanoid style game
rnvz0r5q,Brick Breaker
q4n6j759,Brick buster
q5wykrng,Brickbattle
r2ro432z,Browser Game
l2kj0651,"Browsergame, Sports, Ragdoll"
650k6wnm,Bubble Shooter
45xq79nd,Build
65j8k12k,Builder
p23moxn6,Building
y5gxzdne,building sim
rnv98k2q,Building Simulator
m21o8l54,Bulet Hell
7d5o035w,Bullet Hell
92dk7znl,Bullet Hell/shump
72yzrond,Bullet-hell
1n9qlq2m,Bullethell
q27qdenl,BunnyHop (bhop)
r2rzx65z,Bus
dnqv3k28,Business
rnvvq9nq,Business Simulation
rnvdkpnq,Business simulation game
m65j0mnk,Business simulator
x5e4x7n4,Butōden
1n90pvnm,Capcom
g2zz9r2l,Car
q27yy12l,Car Combat
l28lvmnr,Car game
dnqjg928,Car Racing
el28vw5r,Card
rnvx3q2q,Card & Board
dnqjwm28,Card & Board Game
y5gjyk5e,Card Based
g2zqm02l,Card Battle
rnv9er2q,Card Battle Simulator
72y7ly2d,Card Battler
l2kgle51,Card Battling
p2316xn6,Card Fight
wr2l6127,Card Game
4n4y4dn0,Card Games
q5w40zng,Card/Board
650k9xnm,Cardgame
r2l6y427,Cards
q27qrxnl,Card_Game
l28ejr2r,carnival
l28mok5r,Cars
rnv97p2q,Cart racer
r2lrxk27,Cartoon
1np8jk57,Cartoony
g2z8l02l,Casino
45xjq62d,Castle Defense
94n4ppn0,Casual
75mg3853,Casual Game
dnqv7928,Casual Multiplayer
oy5gzk2e,Casual Puzzle
d5o0l85w,"Casual, Indie, Flying, Bird"
o75mqx23,"Casual, Point-And-Click"
r2lrp427,Catapult
6509w45m,Category Extension
m211e924,Cats
4n46ew20,Causal game
dnqo0r58,Caveperson Simulator
g2zq702l,CCG
y5gj745e,Cell Shading
1np8yp57,Cereal
l2k6j6n1,Chain Reaction
1n9lkdnm,Challenge
r2rz035z,challenging
4n66zkn9,Chambara
1npvgvn7,Chao
y5gkdx2e,Character Action
y5ggwd5e,Charity
4n63kln9,chase
x5eqed54,Cheese
y5gk042e,Chess
pm21or54,Children
45xw69nd,Children's Horror
1npzwy57,Childrens
p23wwx56,Chill
l2kyye51,Chill Arcade
92dxky5l,Choice based
45xwv8nd,Choices Matter
x5ex6724,Choices matters
1np0dv27,Choices-Matter
45xmr92d,Choises matter
wr2lv1n7,Christian
r2lw6157,Christmas
4n63eon9,Chrome extension
l2864knr,Cinematic platformer
p23173n6,City Builder
q27yw42l,City Building
1n9l3vnm,City-builder
72y1zd2d,City-Building
l281qm5r,Civ Builder
l28lrknr,Class-Based
92dd1r2l,Classic
45xj8x2d,Classics
4n6307n9,Cleaning
65jz0m2k,Click & Shoot
650km6nm,Click and Point Adventure
1n9ljqnm,Click Shooter
p92dvm2l,Clicker
y45x0x5d,Clicking
45xjm62d,Climbing
4n4mddn0,Co op
4n4ezd50,Co-op
92ddgx2l,Coated with Murder
p92djy2l,Codfish
g2zqwr2l,Coins
r2rko35z,Collect
4n46qp20,collect 'em all
m2116r24,Collect-a-Thon
l2koqwn1,Collectable Card Game
y5g7k45e,Collectathon
wr2lk857,Collectible Card Game
