parentGameId,variableId,variableName,category,scopeType,scopeLevel,isSubcategory,defaultValue
26898891,ql6y7rw8,Maps (Fireteam (H),ndxvxe52,full-game,,true,
26898891,onv5j45l,Difficulties (Fireteam (H),ndxvxe52,full-game,,true,
26898891,0nwmo0d8,Players (Fireteam (H),ndxvxe52,full-game,,true,
26898891,789v6dqn,Maps (Fireteam (N-R),wdmpy95d,full-game,,true,
26898891,2lger1q8,Difficulties (Fireteam (N-R),wdmpy95d,full-game,,true,
26898891,wl3j0do8,Players (Fireteam (N-R),wdmpy95d,full-game,,true,
46w38ml1,38de7jxn,112123,,global,,true,
kdkz5pld,jlzw11ql,Version,,global,,false,21grpdnq
k6q4po0d,wle64d28,Core,9d8603w2,all-levels,,false,
3dxk5051,dlor74jl,Arcade,xd1j0y7d,global,,true,5ley4551
y655z836,ylq617w8,Game Mode,,full-game,,true,0q5mxnml
y655z836,dlo7kq58,Class,5dw14onk,all-levels,,false,
y655z836,jlzrzm78,Class,vdo58j1k,all-levels,,false,
y655z836,wlek604l,Difficulty - Levels,,all-levels,,true,9qj3wjel
pd0wvl21,ylpeqrj8,Version,,global,,false,
pd0wvl21,dloy9jm8,The Ringer level,wdm660xk,full-game,,true,21gro9nq
pd0wvl21,ql6e32xn,Streamer Color,q2554qg2,full-game,,true,klr8e8m1
j1n4rv96,2lged438,Language,,global,,true,
j1n4rv96,wl3jxz98,Controller,vdolqvyd,global,,true,
j1n8e0l1,dlo723e8,Difficulty,,global,,true,jq6m6971
j1n8e0l1,jlzre508,Game version,,global,,false,
9do8jkk1,6njkvgpl,Glitched Glitchless,,global,,true,5lm5d44q
o6glek9d,kn0j77dl,Legacy run type,9d8eg5wd,full-game,,true,21dz62pl
o6glek9d,ql67ppx8,Legacy run difficulty,9d8eg5wd,full-game,,true,4qyp7n6q
o6glek9d,onv7me7n,Legacy pre-DC run type,zd3jwgy2,global,,true,810y0ewl
o6glek9d,ylp74o6l,Storage type,zd3jwgy2,global,,false,
o6glek9d,0nw7q408,Legacy pre-DC run difficulty,zd3jwgy2,global,,true,rqv06w7l
o6glek9d,789xy038,Legacy pre-DC game cycle,zd3jwgy2,global,,true,8146ke0q
